15 maiores
Arujamérica
Arujá Centro Residencial
Arujá Country Club
Arujázinho I, II e III
Arujázinho IV
Centro
Chácaras Copaco
Cidade Nova Arujá
Jardim Cury
Jardim Fazenda Rincão
Jardim Rincão
Mirante do Arujá
Parque Rodrigo Barreto
Residencial Real Park
Vila Pilar


CEP;Bairro;Latitude;Longitude
07499899;Área Rural de Arujá;-23.3969682;-46.3204265
07401070;Arujá Center Ville;-23.3969682;-46.3276147
07400655;Arujá Centro Residencial;-23.3969682;-46.3332416
07435180;Arujá Country Club;-23.4390383;-46.3570718
07435000;Arujá Lagos Residencial;-23.4411189;-46.3403339
07403000;Arujamérica;-23.4227161;-46.3645880
07435440;Arujázinho I, II e III;-23.6437116;-56.9210990
07434430;Arujázinho IV;-23.4238339;-46.3962093
07402040;Barbosas;-23.3969682;-46.3212879
07438620;Cachoeira;-23.3997991;-46.3204265
07424000;Canjicas;-23.3307886;-46.3000751
07434090;Caputera;-23.6983185;-46.9173921
07432120;CDHU Fazenda Albor;-23.5987215;-46.7881778
07400015;Centro;-23.4000344;-46.3369799
07411610;Centro Industrial de Arujá;-23.4687943;-46.3600693
07418000;Chácara Bananal;-23.3969682;-46.3204265
07402280;Chácara São José;-23.5115272;-46.5325722
07414380;Chácaras Colinas Verdes;-23.4562573;-46.3756336
07439000;Chácaras Copaco;-23.4632696;-46.4094365
07440000;Chácaras Vista Alegre;-23.4132320;-46.3207546
07411350;Cidade Nova Arujá;-23.4083962;-46.3487112
07400310;Convívio Residencial Santana;-23.3969682;-46.3204265
07438720;Estância Pacaembu;-24.3257239;-47.0145033
07414050;Fontes;-23.4085056;-46.3754460
07404000;Gleba D Arujamérica;-23.3969682;-46.3204265
07439240;Granjas Urupes;-23.5441438;-46.8985390
07420885;Jaguari;-23.3969682;-46.3631158
07400230;Jardim Ângelo;-23.3993620;-46.3272455
07407340;Jardim Arujá;-23.3969682;-46.3204265
07431370;Jardim Cury;-23.3969682;-46.3204265
07432570;Jardim das Cerejeiras;-23.4263651;-46.3643635
07432050;Jardim Emília;-23.4186741;-46.3672688
07428070;Jardim Fazenda Rincão;-23.4909919;-46.4184709
07438470;Jardim Imperial;-23.4671351;-46.3204265
07431280;Jardim Jóia;-23.4188360;-46.3604116
07443000;Jardim Josely;-23.4534753;-46.4040076
07432000;Jardim Leika;-23.4225072;-46.3652283
07434100;Jardim Limoeiro;-23.4146429;-46.3245469
07401290;Jardim Modelo;-23.4194480;-46.3235041
07405400;Jardim Pinheiro;-23.3969682;-46.3204265
07402150;Jardim Planalto;-23.4015208;-46.3184994
07402790;Jardim Real;-23.4361925;-46.3152535
07402000;Jardim Renata;-23.3969682;-46.3204265
07400370;Jardim Rincão;-23.4023235;-46.3237793
07407000;Jardim Santo Antônio;-23.3969682;-46.3204265
07436700;Jardim São Jorge;-23.4768264;-46.4192985
07402240;Jardim São José;-23.4013191;-46.3184994
07431210;Jardim Tupi;-23.6437116;-46.5184343
07438000;Jardim Via Dutra;-23.4037196;-46.3060489
07400165;Jardim Vitória;-23.3990848;-46.3307002
07414160;Jardim Yamamoto;-23.4014853;-46.3697700
07411140;Jordanópolis;-23.4430034;-46.3487073
07430000;Laranja Azeda;-23.4585210;-46.3998546
07404020;Mirante do Arujá;-23.4557487;-46.3513123
07428000;Nossa Senhora do Carmo;-23.4072731;-46.3204265
07436000;Novo Horizonte Hills I e II;-23.4568161;-46.3510565
07410000;Núcleo dos Correas;-23.3370583;-46.3064486
07437080;Parque dos Arantes;-23.4257420;-46.2976596
07437000;Parque dos Jacarandás;-23.4234249;-46.3772507
07401000;Parque Judith;-23.3969682;-46.3204265
07429800;Parque Maringá;-23.4170617;-46.3404166
07417100;Parque Rodrigo Barreto;-23.4022277;-46.3307145
07405310;Pedra Fala;-23.3976326;-46.3235077
07405010;Pedreira;-23.3969682;-46.3204265
07431000;Perobal;-23.9192779;-53.3690158
07429000;Perová;-23.4021167;-46.3204265
07420120;Pirituba;-23.3969682;-46.3634696
07411020;Portão;-23.4585170;-46.3998919
07432430;Recanto Primavera;-23.4438451;-46.3673667
07436300;Residencial Arujá Ville;-23.3989713;-46.3256496
07429200;Residencial Real Park;-23.6229623;-46.8101643
07438025;São Bento;-23.4485758;-46.3375112
07432670;Sítio dos Fernandes;-23.4281023;-46.3645806
07406360;Vila Arujá;-23.3969682;-46.3204265
07401787;Vila Ferreira;-23.3969682;-46.3204265
07400490;Vila Flora Regina;-23.4013768;-46.3228571
07402120;Vila Lima;-23.3969682;-46.3213234
07434300;Vila Pedroso;-23.4128030;-46.3217241
07401680;Vila Pilar;-23.3969682;-46.3204265
07401330;Vila Riman;-23.3969682;-46.3221695
